"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",76,admitad,cpa,admitad,,0,0,
"2023-06-01",39,telegram,cpp,base-python,,0,0,
"2023-06-01",39,vk,cpc,freemium-frontend,3160,0,0,
"2023-06-01",33,telegram,cpp,base-java,,0,0,
"2023-06-01",31,vk,cpc,prof-python,2028,0,0,
"2023-06-01",29,vk,cpc,prof-java,3115,0,0,
"2023-06-01",23,vk,cpc,base-python,2537,0,0,
"2023-06-01",19,vk,cpc,freemium-python,980,0,0,
"2023-06-01",19,vk,cpc,prof-data-analytics,1072,0,0,
"2023-06-01",18,vk,cpc,freemium-java,487,0,0,
"2023-06-01",11,tproger,cpc,dod-frontend,,0,0,
"2023-06-01",10,vk,cpc,prof-frontend,,0,0,
"2023-06-01",8,vk-senler,cpc,freemium,,0,0,
"2023-06-01",8,zen,social,hexlet-blog,,0,0,
"2023-06-01",7,zen,social,prof-frontend,,0,0,
